OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,SHAPE_Area,SHAPE_Length
235,,State Facility,Neighborhood,,,,,,117.07,0.18, ,W,,,GIS,2022/05/24 15:38:30+00,{31FC66F7-DF02-405B-A38D-2F42AC9D2993},5099474.51504532,9840.42220270718
243,,Cascade Green,Neighborhood,,,,,,48.93,0.08, ,P,,,GIS,2022/05/24 15:38:31+00,{A7DB3DF4-7D71-4EBF-9B02-8ACF3BB02D3D},2131199.37222096,6056.9154055792
244,,East Lake,Neighborhood,,,,,,782.74,1.22,East Lake,O,,,GIS,2023/02/21 15:54:35+00,{FA809309-67D3-459E-9D67-FB1AC9F689E6},34182429.6817699,40724.213944776
245,,Perkerson,Neighborhood,,,,,,607.81,0.95,Perkerson Park,X,,,GIS,2022/05/24 15:38:31+00,{775531E3-4C24-4A06-B7E8-01BDCE1AE8EB},26475906.8261077,21348.8197949953
246,,Glenrose Heights,Neighborhood,,,,,,892.5,1.39,Glenrose Heights,Z,,,GIS,2022/05/24 15:38:31+00,{D550C0DE-5BCA-4834-A745-F2110B0DF177},38877337.4760031,29362.053624907
247,,Edmund Park,Neighborhood,,,,,,19.27,0.03,Edmund Park,F,,,GIS,2022/05/24 15:38:32+00,{20065007-F26D-4F56-89BB-83980A2ACF9A},839534.7870609,5085.11150761956
248,,Morningside/Lenox Park,Neighborhood,,,,,,1445.95,2.26,Morningside-Lenox Park,F,,,GIS,2023/02/21 15:51:40+00,{0F0F81DD-5048-41DF-976F-9D82C35C6B0D},64036556.6750703,40253.4066415836
249,,East Atlanta,Neighborhood,,,,,,931.53,1.46,East Atlanta,W,,,GIS,2025/01/21 15:43:22+00,{574B2215-C2CA-4719-B687-D6FA8D201AAC},44298283.6028634,56944.4476788414
2561,,Peyton Heights,Neighborhood,,,,,,121.52,0.19,Peyton Heights,I,GIS,2019/04/18 14:02:43+00,GIS,2022/05/24 15:38:31+00,{C6D49604-829F-4AA9-94C9-73E035EE4C51},5293459.86091512,11928.8978690364
3842,,Baker Hills at Campbellton,Neighborhood,,,,,,149.47,0.23,Campbellton,R,GIS,2022/05/24 15:26:55+00,GIS,2022/05/24 15:38:32+00,{5EB79AF6-C62D-4308-A438-A0F7DF2F2890},6510778.59547625,12096.7614004805
3843,,Bonnybrook Estates,Neighborhood,,,,,,74.9,0.12,Greenbriar,R,GIS,2022/05/24 15:27:35+00,GIS,2022/05/24 15:38:32+00,{D00A0821-814D-4EB1-ADEB-4FB4580B7F07},3262659.0356889,8587.96516247649
3844,,Continental Colony,Neighborhood,,,,,,91.93,0.14,Greenbriar,R,GIS,2022/05/24 15:28:19+00,GIS,2022/05/24 16:38:22+00,{BE846791-CAEA-400E-8BFC-8AA171F779EA},4139235.04653127,11589.2312443339
3845,,Emory,Neighborhood,,,,,,,,Emory,F,SHENDERSON,2022/08/24 14:23:41+00,SHENDERSON,2022/08/24 14:27:13+00,{8E289FFF-F383-4A56-BB1E-4426D27799CE},33825547.1395011,51489.7741832991
